month,date,description,speaker
December,2024-12-13,Country/folk/holiday sing-along,Silver Tone Duo
November,2024-11-08,Where do we go from here?,Rev. Leslie Takahashi
October,2024-10-11,Seeing Trees,Richard McPhearson
September,2024-09-13,Singing rounds and partner songs,Frank Ryken
August,2024-08-09,"Genealogy:  What, Why, and How",Rick Betts
July,2024-07-12,Folk song sing-along,Stephen Schneider
June,2024-06-14,The Divine Feminine in Bethlehem,Dr. Victoria Rue
May,2024-05-10,Senior loose ends paperwork planning,Lynn Welch
April,2024-04-12,Rumi:  poet of the heart,Dr. Victoria Lee
March,2024-03-09,Radical Self-Tenderness,Rev. Christie Hardwick
February,2024-02-09,MLK's mentor:  Rev. Dr. Howard Thurman,Rev. Laurel Liefert
January,2024-01-01,Rossmoor UU book club,Joy Hicks & Peggy Wilcox
December,2023-12-08,"""It Came upon a Midnight Clear"" + carols",Rev. Yvonne Schumacher-Strejcek
November,2023-11-10,National Gratitude Month,Rev. Rodney Lemery
October,2023-10-06,Three coming-out stories,"C. Wambauch, M. Kandel, A. Bacarro"
September,2023-09-08,What UUism is (and what it isn't),Rev. Penny Hackett-Evans
August,2023-08-11,unstructured conversation ,
July,2023-07-07,Becoming sensitive to your senses,Cynthia Wilson
June,2023-06-16,Rossmoor and beyond,Continuum Hospice & Care Placement
May,2023-05-12,Eckankar: A Path of Spiritual Freedom,Mariu Arzayus
April,2023-04-14,The Making of an Interfaith Practicioner ,Rev. Channing Miller
March,2023-03-10,How Did We Get from Promise to Polarization?,Dr. Joel Aberbach
February,2023-02-10,Decluttering as a Spiritual Practice,Molly Hermes
January,2023-01-06,Psychological Bias & Decision-Making,Hari Singh
December,2022-12-09,Bedside Singing (+ carols),Treshhold Choir
November,2022-11-11,Compassion & Choices: End-of-life decisions,Dr. Dennis Pocekay
October,2022-10-07,Brainstorm about future programs & Halloween stories,
September,2022-09-09,On Borrowed Time,Jean Wilcox
August,2022-08-12,All About Books,
July,2022-07-08,Faithful Fools,Carmen Barsody
June,2022-06-17,Water & Me,Tom Lindemuth
May,2022-05-13,U.S. Military and Climate Change,Vince Dijanich
April,2022-04-15,Becoming a Good Ancestor,Rev. Marky McKinnon Ganz
March,2022-03-11,Writing Your Memoir,Shoshana Kobrin
February,2022-02-11,National Memorial for Peace & Justice,Dick Bailey (Zoom)
January,2022-01-14,,
December,2021-12-10,Mega-incarceration,Michael Macias
November,2021-11-12,program postponed--informal gathering,presenter was ill
October,2021-10-08,Peak Experiences in the World of Work,
September,2021-09-10,Gene Splicing & Drug Discovery,Drs. Mike Holmes and Zendra Zehner
August,2021-08-13,"Unstructured singing, poetry & conversing",
July,2021-07-10,Public Advocates Non-Profit Law & Advocacy,Bob Olson
June,2021-06-11,Democracy:  Challenges and Conundrums,Rev. Leslie Takahashi (outdoors)
May,2021-05-07,Outdoor picnic at Shady Glen,(outdoors)
April,2021-04-09,What I wanted to be when I grew up,Dick Bailey (outdoors)   
March,2021-03-12,Reunion & Brainstorm about future programs,Dick Bailey (Zoom)
