Name,Street,City,State,Zip,Website,lat,lon,distance
Mt. Diablo UU Church,55 Eckley Ln,Walnut Creek,CA,94596-6703,http://www.mduuc.org/,37.89937451,-122.045751,2.4349956851651506
Berkeley Fellowship of UUs,1924 Cedar St,Berkeley,CA,94709,http://www.bfuu.org/,37.877847,-122.272709,10.944903481293476
UU Church of Berkeley,1 Lawson Rd,Kensington,CA,94707-1015,http://www.uucb.org/,37.9179199,-122.2828483,11.933410884043198
First Unitarian Church of Oakland,685 14th St,Oakland,CA,94612-1242,http://www.uuoakland.org/,37.80665215,-122.2768105,12.016619222764733
Live Oak UU Fellowship,1700 Santa Clara Ave (in Christ Episcopal Church),Alameda,CA,94501,http://uuliveoak.org/,37.7712694,-122.2558548,12.163103991601336
Starr King UU Church,22577 Bayview Ave,Hayward,CA,94541-3303,http://www.starrking.org/,37.6871386,-122.0600495,12.721782557731512
UU Church of Palo Alto,505 E Charleston Rd,Palo Alto,CA,94306-4247,http://www.uucpa.org/,37.41950265,-122.1126451,31.275639028781118
UU Fellowship of the North Bay,1625 Salvador Ave,Napa,CA,94558-1630,http://nvuu.org/,38.34110741,-122.3195179,35.155873779039204
UU Fellowship of Sunnyvale,1112 South Bernardo Ave.,Sunnyvale,CA,94087-2056,http://www.uufs.org/,37.35896823,-122.0594468,35.38707642910608
First UU Church of San Jose,160 N 3rd St,San Jose,CA,95112-5542,http://sanjoseuu.org/,37.33956726,-121.8901264,38.04973512403042
UUs of Petaluma,16 5th St,Petaluma,CA,94952-3008,http://www.uupetaluma.org/,38.23171945,-122.6405826,39.71883482045695
First UU Church of Stockton,2737 Pacific Ave,Stockton,CA,95204-4431,http://www.stocktonuu.org/,37.97512005,-121.3035383,42.51191911753171
Unitarian Universalist Fellowship of Los Gatos,15980 Blossom Hill Rd,Los Gatos,CA,95032-4814,http://www.uuflg.org/,37.23565607,-121.948777,44.41854492347966
UU Church of Davis,27074 Patwin Rd,Davis,CA,95616-9720,http://www.uudavis.org/,38.54526075,-121.7983113,48.90590702387579
